Year_name,,NG,Solid_fossil_fuels,Biofuels_waste,Oil_products,Electricity,Final_electricity
2015,1,0.0,0.0,0.0,0.0,0.0,0.0
2015,2,0.0,0.0,0.0,0.0,0.0,0.0
2015,3,0.0,0.0,0.0,0.0,0.0,0.0
2015,4,0.0,0.0,0.0,0.0,0.0,0.0
2015,5,0.0,0.0,0.0,0.0,0.0,0.0
2015,6,0.0,0.0,0.0,0.0,0.0,0.0
2015,7,0.0,0.0,0.0,0.0,0.0,1741.9166697000037
2015,8,0.0,0.0,0.0,0.0,0.0,5939.416669700004
2015,9,0.0,0.0,0.0,0.0,0.0,14470.916669700004
2015,10,0.0,0.0,0.0,0.0,0.0,49575.91666969999
2015,11,0.0,0.0,0.0,0.0,0.0,38651.45836969999
2015,12,0.0,0.0,0.0,0.0,0.0,15644.999969699988
2015,13,0.0,0.0,0.0,0.0,0.0,9155.999969699988
2015,14,0.0,0.0,0.0,0.0,0.0,13180.999969699988
2015,15,0.0,0.0,0.0,0.0,0.0,3291.9999696999876
2015,16,0.0,0.0,0.0,0.0,0.0,238.99996969998756
2015,17,0.0,0.0,0.0,0.0,0.0,0.0
2015,18,0.0,0.0,0.0,0.0,0.0,0.0
2015,19,0.0,0.0,0.0,0.0,0.0,0.0
2015,20,0.0,0.0,0.0,0.0,0.0,0.0
2015,21,0.0,0.0,0.0,0.0,0.0,77714.49996670001
2015,22,0.0,0.0,0.0,0.0,0.0,57054.99999970003
2015,23,0.0,0.0,0.0,0.0,0.0,0.0
2015,24,0.0,0.0,0.0,0.0,0.0,0.0
2015,25,0.0,0.0,0.0,0.0,0.0,0.0
2015,26,0.0,0.0,0.0,0.0,0.0,5831.999966699994
2015,27,0.0,0.0,0.0,0.0,0.0,2588.999966699994
2015,28,0.0,0.0,0.0,0.0,0.0,0.0
2015,29,0.0,0.0,0.0,0.0,0.0,0.0
2015,30,0.0,0.0,0.0,0.0,0.0,0.0
2015,31,0.0,0.0,0.0,0.0,0.0,0.0
2015,32,0.0,0.0,0.0,0.0,0.0,48615.999966699965
2015,33,0.0,0.0,0.0,0.0,0.0,72654.49996670001
2015,34,0.0,0.0,0.0,0.0,0.0,63985.49996670001
2015,35,0.0,0.0,0.0,0.0,0.0,63853.49996670001
2015,36,0.0,0.0,0.0,0.0,0.0,60794.49996670001
2015,37,0.0,0.0,0.0,0.0,0.0,0.0
2015,38,0.0,0.0,0.0,0.0,0.0,75569.49996670001
2015,39,0.0,0.0,0.0,0.0,0.0,91013.49996670001
2015,40,0.0,0.0,0.0,0.0,0.0,103590.49996670001
2015,41,0.0,0.0,0.0,0.0,0.0,95830.99996669998
2015,42,0.0,0.0,0.0,0.0,0.0,81166.99996670001
2015,43,0.0,0.0,0.0,0.0,0.0,102814.99996670001
2015,44,0.0,0.0,0.0,0.0,0.0,0.0
2015,45,0.0,0.0,0.0,0.0,0.0,63184.49996670001
2015,46,0.0,0.0,0.0,0.0,0.0,69955.49996670001
2015,47,0.0,0.0,0.0,0.0,0.0,88701.99996670004
2015,48,0.0,0.0,0.0,0.0,0.0,0.0
2015,49,0.0,0.0,0.0,0.0,0.0,0.0
2015,50,0.0,0.0,0.0,0.0,0.0,0.0
2015,51,0.0,0.0,0.0,0.0,0.0,0.0
2015,52,0.0,0.0,0.0,0.0,0.0,0.0
2015,53,0.0,0.0,0.0,0.0,0.0,0.0
2015,54,0.0,0.0,0.0,0.0,0.0,0.0
2015,55,0.0,0.0,0.0,0.0,0.0,0.0
2015,56,0.0,0.0,0.0,0.0,0.0,6591.9999637
2015,57,0.0,0.0,0.0,0.0,0.0,55658.999963700015
2015,58,0.0,0.0,0.0,0.0,0.0,93227.49996670001
2015,59,0.0,0.0,0.0,0.0,0.0,11394.472361809045
2015,60,0.0,0.0,0.0,0.0,0.0,97049.49996670001
2015,61,0.0,0.0,0.0,0.0,0.0,19324.120603015075
2015,62,0.0,0.0,0.0,0.0,0.0,89577.49996670001
2015,63,0.0,0.0,0.0,0.0,0.0,76920.99993369999
2015,64,0.0,0.0,0.0,0.0,0.0,54459.99993370002
2015,65,0.0,0.0,0.0,0.0,0.0,44518.999963700015
2015,66,0.0,0.0,0.0,0.0,0.0,37623.999963700015
2015,67,0.0,0.0,0.0,0.0,0.0,59225.99993369999
2015,68,0.0,0.0,0.0,0.0,0.0,56817.49996670001
2015,69,0.0,0.0,0.0,0.0,0.0,67596.49996670001
2015,70,0.0,0.0,0.0,0.0,0.0,98697.49996670001
2015,71,0.0,0.0,0.0,0.0,0.0,0.0
2015,72,0.0,0.0,0.0,0.0,0.0,0.0
2015,73,0.0,0.0,0.0,0.0,0.0,0.0
2015,74,0.0,0.0,0.0,0.0,0.0,0.0
2015,75,0.0,0.0,0.0,0.0,0.0,0.0
2015,76,0.0,0.0,0.0,0.0,0.0,0.0
2015,77,0.0,0.0,0.0,0.0,0.0,3999.000030299998
2015,78,0.0,0.0,0.0,0.0,0.0,0.0
2015,79,0.0,0.0,0.0,0.0,0.0,0.0
2015,80,0.0,0.0,0.0,0.0,0.0,0.0
2015,81,0.0,0.0,0.0,0.0,0.0,41924.0000303
2015,82,0.0,0.0,0.0,0.0,0.0,70168.00003029997
